苦李根皮,90.0,90.0,0.0
樟脑,3.0,3.0,0.0
全虫梢,27.0,27.0,0.0
川萆薢,60.0,6.0,54.0
真阿胶,12.0,12.0,0.0
真花椒,500.0,500.0,0.0
桃枝,30.0,30.0,0.0
川大黄,90.0,7.5,82.5
松香,60.0,15.0,45.0
芥子,30.0,30.0,0.0
石菖蒲,60.0,1.8,58.2
山楂炭,120.0,120.0,0.0
附子,150.0,0.0,150.0
白硼砂,6.0,6.0,0.0
川干姜,15.0,15.0,0.0
真五加皮,30.0,30.0,0.0
腹皮,30.0,30.0,0.0
槐芽,500.0,500.0,0.0
马髻膏,30.0,30.0,0.0
干生地,500.0,500.0,0.0
大麦芽面,3.0,0.9,2.1
生山栀,60.0,60.0,0.0
两头尖,120.0,3.0,117.0
大半夏,50.0,35.0,15.0
广陈皮,15.0,1.5,13.5
炒大黄,30.0,30.0,0.0
苏合香,60.0,60.0,0.0
制香附,15.0,4.5,10.5
荜澄茄,22.5,15.0,7.5
山楂肉,90.0,90.0,0.0
北前胡,7.5,7.5,0.0
蜂房,15.0,9.0,6.0
莽草,60.0,0.6,59.4
川附片,10.0,10.0,0.0
巴戟,90.0,15.0,75.0
甘草节,21.0,1.5,19.5
小茨菇,90.0,90.0,0.0
云茯苓,6.0,6.0,0.0
乌雌鸡肉,75.0,75.0,0.0
红枣,25.0,2.0,23.0
麦麸,4.5,4.5,0.0
定风草,30.0,30.0,0.0
黑豆,750.0,30.0,720.0
浙贝母,6.0,6.0,0.0
香附,300.0,3.0,297.0
没药,500.0,1.5,498.5
青风藤,90.0,21.0,69.0
白葵花,7.0,7.0,0.0
千年健,500.0,60.0,440.0
楮实子,15.0,15.0,0.0
鸡舌香,37.5,30.0,7.5
梅花冰片,7.5,7.5,0.0
辛夷,60.0,15.0,45.0
熊胆,3.0,3.0,0.0
多年陈小粉,120.0,120.0,0.0
焦术,3.0,3.0,0.0
当门子,9.0,9.0,0.0
槐米末,6.0,6.0,0.0
石蟹,15.0,1.0,14.0
木香,90.0,0.3,89.7
小生地,3.0,3.0,0.0
干菊花,30.0,30.0,0.0
青果,1.0,1.0,0.0
核桃,60.0,60.0,0.0
胡桃肉,25.0,25.0,0.0
槐实,30.0,30.0,0.0
垂柳枝,80.0,60.0,20.0
草豆蔻,600.0,10.0,590.0
荆芥穗,2500.0,0.6,2499.4
苦参,1000.0,1.5,998.5
胆南星,105.0,10.0,95.0
何首乌,2500.0,1.5,2498.5
白蜜,15.0,15.0,0.0
黑蛇,1.0,1.0,0.0
白石英,30.0,30.0,0.0
生白附子,9.0,9.0,0.0
赤脚蜈蚣,1.0,1.0,0.0
钗石斛,45.0,30.0,15.0
面蒲黄,90.0,90.0,0.0
橘叶,20.0,20.0,0.0
生磁石,1.0,1.0,0.0
苦参皮,500.0,180.0,320.0
青木香,60.0,15.0,45.0
白藓皮,3.0,3.0,0.0
干薄荷,120.0,120.0,0.0
杉枝,30.0,30.0,0.0
红枣肉,7.0,7.0,0.0
片脑,75.0,4.5,70.5
