草乌,细辛,防风各等分
肉桂60g,麻黄30g(去根、节),海桐皮30g(锉),川乌头30g<炮裂，去皮、脐),黑豆60g(炒熟),五加皮30g,防风30g,牛膝30g,附子60g(炮裂，去皮、脐),松节30g(锉),道人头30g
防风,川芎,天麻,羌活,香白芷,草乌头,白附子,荆芥穗,当归(焙),甘草各15g,滑石60g
川楝子(锉，炒),牵牛子(炒),乌药(去木),茴香(淘去沙土，炒),陈皮(去白),萆薢(微炙),防风各60g,乳香(研),草乌(乌豆30g同煮，竹刀切透黑，去尖，焙),五灵脂(jiu浸，淘去沙石，晒干，研)各15g,威灵仙(去芦，洗)60g
酒汉防己,防风各0．9g(炒),神曲,独活各1．5g,川芎,柴胡,肉桂,当归梢,甘草,苍术各3g,羌活4．5g,桃仁5个(去皮、尖，研如泥)
川乌,草乌各30g,当归60g,红花,官桂,白芷,桃仁,防风,赤芍药,补骨脂,穿山甲,羌活各30g
五加皮,萆薢,山茱萸各90g,杜仲120g(炒去丝),阿胶(蛤粉炒成珠子),金毛狗脊(炙去毛),防风,川芎,细辛,鹿角屑各60g,当归(洗，焙),生地黄各30g
苡仁,川芎,当归,干姜,肉桂,川乌,羌活,独活,麻黄,防风,白术,甘草
羌活30g,汉防己30g,荆芥30g,薏苡仁60g,防风30g,麻黄45g(去根、节),酸枣仁30g,黄松节30g,附子45g(炮裂，去皮、脐)　川芎30g,天麻45g,道人头30g
防风(去芦),白术,杜仲(去粗皮，炒令丝断),川当归(洗),熟地黄(洗),白芍药,黄芪(微炒)各二两,羌活(去芦),牛膝(去芦),甘草(炒),人参(去芦)各30g,附子(炮，去皮、脐),川芎各45g(抚芎不可用)
巴戟天6g(去心),附子(炮),五加皮(酒洗),石斛,甘草(炙),茯苓,当归各3g,牛膝(jiu炒),川萆薢(盐、jiu炒)各45g,肉桂,防风,防己(酒洗)各1.5g,生姜3片
当归,虎胫骨(酥油炙),川羌活,川萆薢,防风各60g,秦艽120g,鳖甲30g(醋炙),川牛膝(jiu浸),松节,晚蚕沙(炒)各60g,枸杞子150g,干茄根240g(饭上蒸熟),苍耳子120g<炒，槌碎)
白头翁60g,牛膝22．5g,附子22．5g(炮裂，去皮、脐),桂心22．5g,羌活22．5g,赤芍药22．5g,赤茯苓15g,人参15g(去芦头),防风22．5g,虎胫骨30g(涂酥，炙微黄),牡丹皮15g,当归15g,酥生姜汁
附子(炮裂，去皮、脐),狗脊(去毛)各7．5g,山药,熟地黄(焙),王孙(生用),肉桂　天雄(炮裂，去皮、脐),山茱萸,秦艽,干漆(jiu炒，令烟出),防风,甘草(炙)各15g,白蔹30g
川乌头15g(炮裂，去皮、脐),甘草15g(炙微赤，锉),细辛15g,花椒15g(去目及闭口者，微炒去汗),干姜30g(炮裂，锉),赤茯苓60g　防风60g,当归30g(锉，微炒),秦艽45g,附子45g(炮裂，去皮、脐),桂心45g,赤芍药45g,独活60g,牛膝45g
五加皮30g,萆薢30g,海桐皮30g,虎胫骨45g(涂酥，炙令黄),牛膝30g(去苗),防风30g(去芦头),薏苡仁30g,牛蒡子30g,淫羊藿30g,当归30g(锉，微炒),续断30g,附子30g(炮裂，去皮、脐),杜仲30g(去粗皮，微炙，锉),熟地黄30g
苁蓉(jiu浸),牛膝(jiu浸),防风(去芦头),革薜(切碎，炒),海桐皮(去粗皮),自然铜(醋淬七次),威灵仙(去土),金毛狗脊(去毛),川乌头各30g(生，去皮、脐),没药15g(另研),乳香15g(另研),地龙(去土)30g,骨碎补(去毛)120g,马钱子(去壳，另研)120g
羌活,川续断,牛膝(酒洗),防风,当归(酒洗),川芎各3g,薄桂0．9g,秦艽,川乌各1．5g,苍术(米泔浸，炒),麻黄,甘草节,枳壳(麸炒),穿山甲各2．1g
人参,白术,黄芪各3g,甘草(炙)1．5g,当归,川芎,芍药,熟地黄各3g,防风,防己,羌活,牛膝各2．1g,杜仲(jiang汁拌炒),萆薢各3g,附子(童便浸三日，去皮、脐)2．1g
熟地黄(切，焙),大麻仁(炒，研)各45g,萆薢(炒),五加皮(锉),石斛(去根),赤芍药,防风(去叉)各30g,牛膝(jiu浸，切，焙),桂(去粗皮),酸枣仁(炒),羌活(去芦头),木香各22．5g,附子(炮裂，去皮脐)l枚,牡丹皮15g,槟榔2枚(锉)
白花蛇60g(汤或jiu浸，炙微黄，去皮、骨),白附子30g(炮裂),磁石30g(烧，酒淬七遍，细研),天麻15g,狗脊15g,附子15g(炮裂，去皮，脐),萆薢15g(锉)，白僵蚕15g(微炒),细辛15g,防风15g,白术15g,川芎15g,白鲜皮15g,羌活15g,蔓荆子15g
玄参9g,人参9g,杜仲12g,芍药12g,桂心,3g,生姜6g,生地黄9g,白术9g,通草9g,当归9g,桑寄生12g,川芎12g,防风6g,丹皮6g,独活6g
防风30g,秦艽22．5g(去苗),石斛60g(去根，锉),薏苡仁30g,白术30g,川芎30g,杜仲30g(削去皱皮，微炙，锉),附子30g(炮裂，去皮、脐),大麻仁30g,萆薢30g(锉),丹参30g,桂心30g,牛膝30g,独活30g,槟榔30g
防风30g,白术30g,川芎30g,细辛30g,羌活30g,茵芋30g,牛膝30g(去苗),狗脊30g,萆薢30g,薏似仁60g,麻黄120g(去根、节),附子30g(炮裂，去皮、脐),杏仁30g(汤浸，去皮、尖、双仁，麸炒微黄),赤箭30g　桂心30g
防风,麻黄(去根、节，汤煮，掠去沫),独活,秦艽各90g,当归(切，焙),防己,甘草(炙，锉),人参,黄芩(去黑心),升麻,芍药各60g,远志(去心),石膏(碎)各30g,麝香(研)15g,半夏(汤洗去滑，生jiang汁制)60g,
赤芍药240g,防风,香白芷,川乌头(炮，去皮、脐、尖),麻黄(去根、节),白蒺藜(炒)各120g,雄黄(水飞),白僵蚕(炒，去丝、嘴),细辛(去叶、土),天麻(去苗),川芎各60g,甘草(炙),干姜(炮),藿香叶(去土),甘松(去土，焙)各30g
附子30g(炮裂，去皮、脐),莽草15g(微炒),白花蛇60g(jiu浸，炙令黄，去皮、骨),天南星22．5g(炮裂),川乌头15g(炮裂，去皮、脐)　天麻22．5g,干蝎15g(微炒),桂心22．5g,防风15g,薏苡仁30g,枫香30g,川芎22．5g,萆薢30g,羌活22．5g,淫羊藿30g
川续断,杜仲(去皮，切，jiang汁炒),防风,桂心,细辛,人参,白茯苓,当归,白芍药　甘草各30g,秦艽,生地黄,川芎,川独活各15g,黄芪,川牛膝各30g
人参120g,三七240g,山羊血60g,千年健500g,钻地风500g,肉桂50g,真花椒500g,乳香500g,没药5008,穿山甲250g,小茴香500g,苍术500g,真蕲艾2kg,甘草1kg　麝香120g,防风2kg
川芎,威灵仙,荆芥,麻黄,防风　天麻,青木香,金毛狗脊,羌活,独活,枳壳各15g,川乌,草乌各12g,苍术,陈皮,川当归各15g
五加皮75g,枳壳75g(麸炒微黄，去瓤),独活45g,乌喙45g(炮裂，去皮、脐),干姜45g(炮裂),石南30g,丹参60g,防风60g(去芦头),白术60g,地骨皮60g,川芎60g,猪椒根60g,熟地黄90g,牛膝90g,"虎胫骨150g
(涂酥，炙令微黄)",枸杞子60g,秦艽60g
麻黄,石膏,独活,茯苓各6g,吴茱萸,秦艽,细辛,桂心,人参,防风,川芎,防己,甘草各3g,干姜4．5g,白术9g,杏仁6枚,附子3g
当归15g,首乌(炙)15g,竹节香附15g,白术(炒)15g,木香15g,细辛15g,川乌(炙)90g,草乌(炙)90g,大茴香90g,川芎90g　防风90g,白芷90g,芥穗908,桔梗90g,麻黄90g,苍术(炒)250g,甘草(炙)60g
当归30g,干姜,陈皮,黄芪,芍药,川芎,桂心,独活,防风,人参,吴茱萸,甘草,生地黄,茯苓各7．5g,生姜4．5g,大枣3枚　羊肉100g
附子30g(炮裂，去皮、脐),肉苁蓉30g(jiu浸一宿，锉，去皱皮，炙干),巴戟30g,防风22．5g,当归30g,羌活22．5g,桂心,22．5g,萆薢22．5g(锉),酸枣仁22．5g(微炒),牛膝30g,木香22．5g,白蒺藜22．5g(微炒，去刺),补骨脂30g(微炒),鹿茸60g(去毛，涂酥炙令黄),石斛30g,桃仁30g(汤浸，去皮、尖、双仁，麸炒微黄),白茯苓30g
乳香(细研)30g,乌头(炮裂，去皮、脐)15g,羌活30g,雄黄(细研，水飞过)15g,白附子(炮),羚羊角屑各30g,附子(炮裂，去皮、脐)15g,原蚕蛾(微炒),防风(去叉),乌梢蛇(jiu浸，去皮、骨，炙),白僵蚕(炒),虎胫骨(酥炙)各30g　轻粉,麝香(细研)各7．5g,赤箭,牛膝(jiu浸，切，焙),没药(研)各15g
乌梢蛇(jiu浸，去皮、骨，炙),青葙子　防风(去叉),独活(去芦),麻黄(去根、节，先煎，去沫，焙),桔梗(炒),秦艽(去土)各37．5g,羌活(去芦头)30g,当归(切，焙),细辛(去苗、叶),桂(去粗皮)各90g,川芎,白芷(微炒)各75g,白芍药,蒺藜子(炒去角),人参,天麻各60g,附子(炮裂，去皮、脐)75g
杜仲(炭)210g,牛膝300g,马钱子(炙去毛)1．24kg,甘草1．1kg,山药450g,木香90g,乳香120g,没药120g,自然铜(煅)300g,千年健90g,羌活90g,地风90g,红花90g,防风90g,续断210g,柴胡120g,狗脊(去毛)300g,"麻
黄600g"
杜仲30g(炙微黄，锉),干姜15g(炮裂，锉),萆薢30g(锉),羌活22．5g,天雄22．5g(炮裂，去皮、脐),花椒22．5g(去目及闭口者，微炒去汗),桂心22．5g,川芎15g,防风15g(去芦头),秦艽15g,川乌头22．5g(炮裂，去皮、脐),细辛22．5g,五加皮22．5g,石斛22．5g,续断60g,当归22．5g(锉，微炒),五味子22．5,槟榔22．5g
赤箭30g,茯神30g,五加皮30g　鹿茸60g(去毛，涂酥，炙令黄),防风30g,牛膝45g,桂心30g,独活30g,蛇床子30g,菟丝子90g(jiu浸三日，晒干，别捣为末),酸枣仁30g(微炒),山茱萸30g,巴戟30g,"附子60g(炮裂，去皮
脐)",淫羊藿30g,萆薢30g(锉),石斛60g(去根),熟地黄30g
羌活,麻黄(去根、节，汤煮，掠去沫，焙)各30g,防风22．5g,木香,槟榔(锉),"附子
(炮裂，去皮、脐)",白术,乌头(炮裂，去皮、脐),草豆蔻(和皮),陈皮(汤浸，去白，焙),牛膝(jiu浸一宿，切，焙),当归(jiu浸一宿，切，焙),杏仁(去皮、尖、双仁，生用),人参,白茯苓,甘草,川芎,肉桂各15g
附子(炮),独活,防风,川芎,丹参,萆薢,菖蒲,天麻,官桂,当归各30g,黄芪　细辛,山茱萸,白术,甘菊花,牛膝(jiu浸),甘草(炙),枳壳(麸炒，去瓤)各15g
苍耳子,骨碎补,自然铜,血竭,白附子,赤芍,当归,肉桂,白芷,没药,防风,牛膝各90g,五加皮,天麻,槟榔,羌活各30g,虎胫骨,龟版各60g
天雄,当归,人参各1．5g,附子,防风,天冬,花椒,独活各1．2g,乌头,秦艽,细辛,白术,干姜各0.9g,麻黄,山茱萸,五味子,桔梗,白芷,柴胡,莽草各0.6g
当归,川芎,白芍药,防风,羌活,天麻,僵蚕(炒),白芷,青皮,陈皮,乌药,牛膝(酒洗),南星(制),半夏(制),黄连(jiang汁炒),黄芩(jiu炒),山栀仁(炒黑),连翘,麻黄,甘草各2.4g
杜仲(炙),干姜(炮),熟地黄(焙),萆薢,羌活,天雄(炮裂，去皮、脐),花椒(去目并闭口者，炒出汗),桂,川芎,秦艽,乌头(炮裂，去皮、脐),细辛各90g,五加皮,石斛各150g,续断,天花粉,地骨皮,桔梗(炒),甘草(炙),防风各30g
肉苁蓉(jiu浸，去皴皮，切，焙)60g,独活,附子(炮裂，去皮、脐),花椒(去目并闭口者，炒出汗)各45g,泽泻,黄芪(细锉)各60g,五味子,蒺藜(炒去角),防风,杏仁(汤浸，去皮、尖、双仁，炒黄),木香,干姜(炮),牡蛎(熬),赤石脂,黄芩,甘草(炙，锉),肉桂,桃仁(汤浸，去皮、尖、双仁，炒黄),细辛,续断各30g
熟地黄30g,巴戟22．5g,黄芪22．5g(锉),石斛30g,人参22．5g,白茯苓22．5g,桂心,22．5g,牛膝30g,山茱萸22．5g,防风22．5g,菟丝子30g(jiu浸三日，晒干，别捣为末)　羌活22．5g,肉苁蓉30g(jiu浸一宿，刮去皱皮，炙干),附子30g(炮裂，去皮脐),磁石60g(烧醋淬七遍，捣碎细研，水飞过),丹参22．5g,五味子22．5g,麦冬30g(去心，焙),甘草15g(炙微赤，锉),远志15g(去心),柏子仁30g
龟甲(醋炙),虎骨(酥炙)各180g,海桐皮,羌活,丹参,独活,牛膝(jiu浸，切，焙)　萆薢,五加皮,酸枣仁(炒)各90g,附子(炮裂，去皮、脐),天雄(炮裂，去皮、脐),天麻(去蒂),防风(去叉),威灵仙,川芎各75g,当归(切、焙),肉桂,紫参各90g,薄荷(焙干)180g,槟榔(煨)180g,菖蒲(九节者，去须，米泔浸后切，焙)45g
淫羊藿22．5g,防风15g,羌活22．5g,禹白附22．5g(炮裂),天麻30g,天南星15g(炮裂),犀角屑22．59,木香15g,槟榔15g,羚羊角屑22．5g,乳香22．5g(细研),虎胫骨22．5g(涂酥，炙令黄),桂心15g,附子22．5g(炮裂，去皮、脐),当归22．5g(锉，微炒),牛膝22．58,白僵蚕15g(微炒),鹿茸22．5g(涂酥，炙令黄，去毛),石斛22．5g,麝香7．5g(细研),海桐皮22．5g(锉),干蝎15g(微炒),乌梢蛇90g(jiu浸，炙令黄，去皮、骨)
当归,白芷,赤芍药,牛膝(酒洗),杜仲(jiang汁炒),木瓜,茯苓(去皮),骨碎补,乌梅,何首乌,川续断,补骨脂,小茴香(盐水炒),独活,桑寄生,五加皮,苍术(米泔浸),陈皮,防风(去芦),天麻各30g,川芎,槟榔,半夏(jiang汁炒)各15g,甘草9g
鹿茸,熟地,苁蓉,巴戟肉,茯苓,石斛,牛膝,防风,泽泻,川断,杜仲,小茴香,补骨脂,沉香,荜茇,桑螵蛸各90g,山萸肉60g,龙骨,菟丝子,附子,肉桂各30g,川芎,五味子,覆盆子各15g
川牛膝(jiu浸一宿，切，焙),肉苁蓉(jiu浸一宿，切，焙),花椒(去目),附子(炮)各120g,马钱子(去壳),地龙各90g,覆盆子,禹白附,菟丝子(jiu浸，研),赤小豆,天南星,防风,骨碎补(去毛),何首乌,萆薢,川羌活,金毛狗脊(去毛),乌药各60g,绵黄芪,人参各30g,川乌(炮),白茯苓,白术,甘草各30g
淡附子,鲜红花,血余,莪术,桂枝,羌活,独活,白僵蚕,秦艽,麻黄,当归,制川乌,防风,威灵仙,制草乌,生大黄,赤芍,生山栀,桃仁,三棱,白芷,淡全虫,五加皮,良姜各60g,生地,香附,乌药各120g
远志(去心),黄芪(炙，锉)各15g　芍药30g,五味子,黄芩(去黑心)各7．5g,赤茯苓,牡荆实(轻炒)各22．5g,秦艽30g,乌头(炮裂，去皮、脐),天雄(炮裂，去皮、脐),细辛(微炒),山茱萸,菊花(未开者，炒)各15g,防风22．5g,狗脊(去毛),桂,川芎,芜荑(微炒)各15g,菖蒲(用米泔浸，去节、皮，焙),萎蕤各22．5g,白蔹(生用),山药,附子(炮裂，去皮、脐),龙胆(去苗、土),厚朴(去粗皮，生jiang汁炙，锉)各15g,花椒(去目并闭口者，炒出汗),巴戟天(去心)各7．5g
生地,川附,香附,乌药各60g,五加皮,桂枝,当归,防风,羌活,独活,秦艽,天虫,全蝎,灵仙,川乌,草乌,白芷,良姜,大黄,麻黄,赤芍,莪术,三棱,桃仁,红花,六轴子,头发各30g,麻油4kg
马钱子,透骨草,生山甲,汉防己　乳香,没药,生姜,王不留行,细辛,五加皮,豨莶草,独活,生草乌,五倍子,肉桂,枳壳,牛蒡子,血余各9g,地龙,红娘,全蝎,灵仙,生大黄,泽兰叶,丝瓜络,麻黄,土鳖虫,防风各12g　归尾15g,功劳叶30g,蜈蚣4条
生地9g,苍术9g,枳壳9g,五加皮9g,莪术9g,桃仁9g,山柰9g,当归9g,川乌(生)9g,陈皮9g,乌药9g,三棱9g,大黄9g,首乌9g,草乌(生)9g,柴胡9g,防风9g,刘寄奴9g,猪牙皂9g,川芎9g,官桂9g,羌活9g,威灵仙9g,赤药9g,南星(生)9g,香附(生)9g,荆芥9g,白芷9g,海风藤9g,藁本9g,续断9g,良姜9g,独活9g,麻黄9s,甘松9g,连翘9g
片脑,牛黄,乳香,没药,龙骨,血竭,赤石脂,麝香,轻粉,麻黄,川芎,白芷,薄荷,草乌,全蝎各30g,连翘,防风,黄芩,黄连,大黄,知母,贝母,当归,苍术,羌活,栀子仁,桔梗,柴胡,荆芥,五倍子,海螵蛸,白及,穿山甲,马钱子,大枫子,椿皮,桑枝,槐枝,乱发各90g,蛇蜕3条,柳枝(长33cm)7条
白花蛇60g(jiu浸，焙干),乌梢蛇15g(jiu浸，焙干),麻黄60g(去节),细辛30g(去土),全蝎45g(去毒，炒),两头尖60g(jiu浸),赤芍药30g,川芎60g,防风75g,葛根45g,没药30g(另研),血竭22．5g(另研),朱砂30g(另研),乌犀屑15g,地龙15g(去土),甘草60g(去皮，炙),丁香30g(去枝),白僵蚕30g(炒),乳香30g(另研),麝香15g(另研),片脑4．5g(另研),官桂60g(去粗皮),草豆蔻60g,川羌活60g,虎胫骨30g(酥炙),玄参30g,牛黄7．5g(另研),威灵仙45g(jiu浸),天麻60g,藿香60g(去土),天竺黄30g,败龟版30g(炙),人参30g,何首乌60g,白芷60g,乌药30g,安息香30g,青皮30g,黑附子30g(炮，去皮、脐),香附30g,白豆蔻30g,骨碎补30g,黄连60g,茯苓30g,黄芩60g,白术30g,熟地黄60g,松香脂15g,大黄60g,当归45g,木香60g,沉香30g,金箔(为衣)
羚羊角(镑)30g,独活60g,乌头(炮裂，去皮、脐)22．5g,防风7.5g
黄芪150g,防风9g,肉桂15g,茯苓30g
枳壳(麸炒黄),细辛,桔梗(炒),防风,川芎各120g,葛根45g,甘草60g
薏仁90g,白术60g,黄芪30g,防风0.9g,附子0．3g
防风9g,桑叶6g,陈皮3g,补骨脂6g,苡仁30g
独活,苍术,防风,细辛,川芎,甘草
宣木瓜9g,秦艽6g,防风6g,防己6g,伸筋草6g,白芷6g
羌活2．1g,防风,升麻,柴胡各1．5g,藁本,苍术各3g
赤茯苓,桑白皮各60g,防风,官桂,川芎,芍药,麻黄各45g
当归6g,防风1．5g,独活,桂心,杜仲,续断,桑寄生各2．5g
防风,独活各1．5g,桂枝,芍药,樱皮,姜黄各4．5g,甘草o．3g
柴胡,独活,防风,川芎,苍术,青皮,甘草
银环蛇5条,威灵仙85g,当归,土鳖虫,血竭,透骨草,防风各45g
当归(去土，jiu浸一宿),羌活(去芦头),姜黄,白芍药,黄芪(蜜炙),防风各45g(炙),甘草15g
威灵仙,防风,川乌(炮，去皮、脐),陈皮(去白),川楝子(麸炒),萆薢各90g,乌药(炒，去土，锉)150g,赤小豆,茴香(炒)各240g　地龙(炒)210g,花椒(去目及闭口者，微炒出汗)60g
木瓜(去瓤)90g,续断,萆薢各180g,牛膝(jiu浸一宿，焙),薏苡仁(炒)各120g,川乌(炮，去皮、脐),防风,杜仲(jiang汁炒断丝)各60g
黄芪120g,防风,附子(炮裂，去皮、脐)各45g,川芎30g,麻黄(去根、节，煎，掠去沫，焙)150g,当归(焙)30g,甘草(炙，锉)15g,芍药30g
羚羊角60g,独活24g,当归60g,白芍(jiu炒)45g,生地120g,肉桂12g,川芎3g,防风24g
羌活,防风,姜黄,白术,海桐皮,当归,白芍药各30g,炙甘草22．5g
薏苡仁,虎骨各240g,天麻,防风,附子,羌活,桂心各120g,乳香60g
赤茯苓,桑白皮,防风,官桂,川芎,麻黄,芍药,当归,甘草(炙)各等分
独活22．58,萆薢30g,防风30g,细辛30g,人参30g,炮干姜30g,天雄30g(炮裂，去皮、脐),丹参30g,牛膝30g
没药(研),马钱子各30g,防风15g,乳香(研)22．5g,血竭(研)15g,乌头(炮裂，去皮、脐)45g,荆芥穗15g,青陈皮(汤浸，去白，焙)30g,五灵脂(研)75g
桂枝12g,芍药9g,甘草6g,麻黄6g,生姜15g,白术15g,知母12g,防风12g,附子6g(炮)
黄芪,杜蒺藜,川楝子,茴香(炒),川乌(炮，去皮、脐),赤小豆,地龙(去土，炒),防风各30g,乌药60g
麻黄22.5g(去根、节),乌梢蛇60g(jiu浸，炙令黄，去皮、骨),白术22．5g,茵芋22．5g,防风22．5g,蛜？7．5g(微炒，去足),桂心22．5g,附子30g(炮裂，去皮、脐),当归22．5g(锉，微炒)
赤茯苓,防风,当归,白前,干姜,炙甘草各6g,独活9g,远志,附子,人参各3g
独活9g,生姜18g,生地黄15g,芍药12g,防风9g,桂心9g,栝楼9g,甘草6g(炙),麻黄6g(去节),干葛9g
独活,防风,苍术,黄柏,当归,秦艽,防己,萆薢,赤芍,川牛膝
独活90g,炮附子,薏苡仁,苍耳,防风,蔓荆实,川芎,细辛(去苗、叶),秦艽(去苗、土),菖蒲各60g
当归6g,白芍(jiu炒)4．5g,熟地4．5g(若血虚有热者，改用生地),秦艽4．5g,防风,独活各3．6g,羌活3g,桂枝2．4g,陈皮2．1g,松节12g
菟丝子(酒洗，煨烂捣饼，晒干)75g　肉苁蓉(jiu浸)60g,川萆薢,补骨脂(jiu炒),胡芦巴(jiu炒),沙苑蒺藜(微炒),川牛膝(去皮，酒洗),川杜仲(jiu炒),防风(酒洗),甘枸杞子各60g
黄芪5kg,乌药7．5kg,地龙1．2kg,赤小豆5kg,杜蒺藜2．5kg,防风5kg,川乌头1．2kg,川楝子5kg,陈皮5kg,茴香5kg
薏苡仁,牛膝各60g,海桐皮,五加皮,独活,防风,杜仲(jiang汁炙)各30g,白术15g,枳壳30g(炒),生地黄75g
茯神,防风,当归,天雄(炮裂，去皮、脐),麻黄(去根、节),甘草(炙),川芎,独活,远志(去心),丹参,挂心,酸枣仁(微炒)各30g
多年陈小粉120g(炒焦色),干姜30g,官桂30g,五倍子30g,白芷30g,龟版(醋炙)60g,当归30g,防风30g,白及60g,乌药30g乳香30g
当归,生地黄,秦艽,肉桂,牛膝(酒洗),杜仲(盐、jiu炒),茯苓,防风各3g,土茯苓4．5g,川芎1．5g,甘草0．9g
白术150g(炒),当归150g,杜仲90g(yan炒),牛膝90g,防风90g,苍术60g,川芎60g,羌活60g,红花30g,桂枝30g,威灵仙30g
防己(酒洗)30g,羌活,柴胡,滑石(炒),炙甘草,瓜蒌根(酒洗)各15g,泽泻,防风各9g,苦参(酒洗),川乌各3g,肉桂7．5g
防风,羌活,苍术各3g,木瓜,当归,威灵仙,乌药,生地各6g,白芍,秦艽,川芎各2．4g
陈皮2．4g,甘草(生用),当归各1．5g,桔梗(米泔浸，切),茯苓各1．8g,羌活1．5g,薄桂0．6g,前胡2．1g,防风0．6g,贝母2．1g(用niu条烧灰水浸透，糯米炒),苍术1．5g(泔浸)
