黄芩,大黄,防风,薄荷各15g
薄荷1．5g,羌活1．5g,芜蔚子3g,柴胡2．4g,蒺藜3g,菊花2．4g,防风2．4g,甘草1．2g,生地黄6g,当归4．5g,白芍药3g,川芎2．4g
决明子,甘菊花各30g,防风,车前子,川芎,细辛,栀子仁,玄参,蔓荆子,白茯苓,山茱萸各45g,生地黄90g
防风,玄参,决明子(炒),车前子,茯神(去木),地骨皮,枳壳(去瓤，麸炒),龙齿,甘菊花,苦参,大黄(锉，炒),麦冬(去心，焙)各30g,,
草决明,当归,菊花各30g,木贼,蝉蜕各6g,川芎9g,青葙子(炒),防风,山栀,白蒺藜(炒),白芍,粉草各15g
连翘,当归,菊花,蔓荆子,甘草,柴胡,升麻,黄芩,黄芪,防风,羌活,生地黄各等分
细辛o．3g,升麻,蕤仁各0．9g,青皮,连翘,防风各1．2g,柴胡1．5g,生甘草,当归身各1．8g,荆芥穗3g(微取浓汁),生地黄4．5g,拣黄连9g
菟丝子30g,茺蔚子3Og,生地黄60g,青葙子60g,防风30g,五味子9g,黑参30g,柴胡30g,泽泻30g,细辛9g,车前子30g,茯苓30g
黄芩,甘草,藁本,栀子,防风,菊花,密蒙花,连翘,桔梗,薄荷,赤芍药,白蒺藜
菊花,车前子,熟地黄,木贼,密蒙花,薄荷,连翘,白蒺藜,防风,荆芥穗,甘草,川芎各等分
兔肝(慢火炙干)2具,柏子仁,熟地黄(焙),防风各30g,五味子,车前子,细辛,菟丝子(jiu浸一宿，别捣为末)各15g,川芎,枸杞子,山药各30g
大黄(锉，炒),黄芩(去黑心)各60g,人参,地骨皮(洗去土，焙),决明子(微炒),防风(去叉),石胆,地肤子,黄连(去须),甘草(炙，锉),车前子各30g,免肝三具(洗，切，炙干),萤火虫100枚(去翼，焙干)
蒺藜(炒，去刺),防风,羌活,川芎,天麻,茯苓,蝉蜕(去足),苍术(童便浸一宿，焙)各15g,华阴细辛,荆芥,茺蔚子,甘草(炙)各7．5g,甘菊(去萼)60g
羌活,川芎,防风,木贼,甘草,苍术,青皮,菊花,石膏,蒺藜各30g,枸杞子,蛇蜕,石决明各15g
蝉蜕(洗，晒)15g,蒺藜(炒，捣去刺)15g,防风,羌活,木贼(去节，童便浸12小时，晒),川芎,细辛,秦皮,枳实,荆芥,藁本,干菊　甘草各7．5g
石决明,草决明,防风,赤芍,柴胡,白芷各2．4g,菊花3．6g,川芎,羌活,蒺藜　红花各1．5g,当归3g,栀子1．8g
防风(去叉)75g,蔓荆实,羚羊角(镑),玄参,山栀子仁各45g,萎蕤,大麻仁(研),芍药,芒硝(研)各90g,黄连(去须),枳壳(去瓤，麸炒)各30g,菊花22．5g,麦冬(去心，焙)60g
菟丝子(酒煮，捣烂),柏子仁(炒)各90g,枸杞90g,山药90g,白茯苓60g,防风30g,栀子(炒)30g,五味子30g,车前子(炒)30g,细辛15g,甘草15g,蕤仁9g,川芎30g
羚羊角,生地黄,熟地黄,肉苁蓉,枸杞子,防风,草决明,楮实子各15g,甘菊花　羌活,当归各30g,羊子肝120g(煮，焙),川芎15g
羌活,独活各1．8g,白芍药,生地黄,泽泻各o．9g,人参,白术,茯苓,黄芪,炙草,当归各1．2g,柴胡,防风各1．5g,熟地黄(酒洗，炒)1．2g
甘菊花,旋覆花,蜜蒙花各30g,地肤子,青葙子,覆盆子,牛蒡子,蔓荆子,草决明各45g,白蒺藜(炒，杵去刺),川芎,木贼,黄芩(去节),防风各30g
防风,石膏各4.5g,柴胡,"羌活
五味子",升麻各6g,甘草,酒黄连,"黄芪各9g
酒黄芩(炒)",酒黄柏(炒),当归身(酒洗),"草龙胆
(酒洗)",芍药各15g
白蒺藜(炒去刺),菊花(去根、叶),石决明(煅),生地各30g,楮实子,槐角(炒),五味子,黄连,当归尾各15g,防风,荆芥穗各7.5g,甘草3g,川芎9g,蕤仁(去壳油，净)2．1g
防风(去叉),山药各45g,萎蕤60g,赤芍药45g,车前子90g,秦皮,泽泻各30g,川芎60g,山栀子仁,白茯苓各45g,独活,白槟榔(煨，锉),甘菊花(择),羚羊角(镑)各30g
甘菊花,蔓青子,蒺藜子(炒去角),谷精草,牡蛎(烧),川芎,淫羊藿,生地黄各15g,蛇蜕5条,羌活,防风,桑叶,蝉蜕(洗),地骨皮各30g
羌活,甘草(炙),石决明(生，研),石膏(泥裹煅通赤，冷研),密蒙花,苍术,防风,蒺藜子(炒，去角),木贼各15g,蔓荆子,威灵仙(去土),干桑叶,荆芥穗,原蚕沙(炒)各7．5g
白术1．5g,枳壳,羌活,川芎,白芷,独活,防风,前胡,桔梗,薄荷各1．2g,荆芥,甘草各0．9g,柴胡2．1g,黄芩1．5g
黄连,生地,赤芍,当归尾,赤茯苓,防风,细辛各3g,大黄,桑白皮各6g,甘菊,谷精草,生甘草各9g
石决明,谷精草,白术,川芎,羌活,防风,甘草,楮子,蝉蜕,草决明,蕤仁各15g,木贼,青陈皮各22．5g,蛇蜕3g,细辛7．5g
玄参30g,麦冬30g(去心),防风30g,地骨皮30g,远志30g,川大黄30g(锉碎，微炒),车前子30g,茺蔚子30g,决明子30g,蔓荆子30g,细辛30g,黄芩30g,黄连30g(去须),犀角屑30g,甘草30g(炙微赤，锉)
黄芩(去黑心),苍术各30g,菊花,木贼,旋覆花,蝉蜕,防风,草决明,青葙子,甘草(去芦头),桑叶,茼子,川芎,真珠(研)各15g,蛇蜕皮15g(盐泥固济瓶子，烧之，有翳即用)
薄荷,桔梗,知母,黑参,赤芍药,黄芩(jiu炒),生地黄,菊花,茺蔚子,当归,桑白皮,防风,川芎,白芷,甘草
麦冬(去心，焙),防风,玄参,地骨皮,远志(去心),大黄(锉炒),车前子,茺蔚子,决明子(炒),蔓荆实(去白皮),细辛,黄芩,黄连,犀角屑,甘草(炙)各30g
生地黄,独活,黄柏,防风,知母各0.9g,蔓荆子,前胡,羌活,白芷,生甘草各1．2g,黄芩(酒制),寒水石,栀子,黄连(酒制)各1．5g,防己0．9g
青葙子,决明子(炒),葶苈子(炒),车前子,五味子,枸杞子,地肤子,茺蔚子,麦冬(去心，焙),生地黄(洗，焙),细辛(去苗叶),肉桂(去粗皮),赤茯苓(去黑皮),泽泻,防风(去叉),黄芩(去黑心)各30g
当归身,龙胆草(酒洗，炒),黄芩,桑皮(蜜制),车前子,生地黄,赤芍,枳壳各2．4g,炙甘草0．9g,熟大黄,防风,川芎,川黄连(炒),木贼草,羌活,柴胡各2g
蔓菁子120g,蛇蜕皮,蝉蜕,羌活,川芎,木贼,甘草(炙),石决明,密蒙花,青葙子,石膏,青皮,枸杞子,白蒺藜,防风各30g　苍术(泔浸，切，焙)60g
蝉蜕(洗，晒),苍术(童尿换浸二宿，焙),熟地黄(洗，焙),川芎,白蒺藜(炒，杵，去刺)各30g,茺蔚子,羌活,防风,木贼(去节，童尿浸一宿，晒),甘菊,荆芥,蔓荆子,杏仁(浸，去皮，焙),菟丝子(研，jiu浸),石决明(煅存半生),蛇蜕(jiu浸，洗净，焙)各15g
苁蓉(jiu浸一伏时，切，焙干),威灵仙,青葙子,巴戟(去心),蝉蜕,甘菊花,密蒙花,旋覆花,防风,枸杞子,天麻(jiu浸一宿，焙干),地骨皮各60g,蛇蜕皮45g(jiu浸一宿，炒黄),香白花45g,桑花,麻子(水淘，去浮者，炒香)各30g
大黄(酒蒸，久晒),川芎,菊花,防风,牛蒡子(炒),荆芥,玄参,蒺藜,细辛,黄芩,栀子,木贼,甘草,草决明(炒),苍术,蔓荆子
当归,黄芩各30g,桔梗,麻黄,枳壳各15g,秦皮,葶苈,菊花,旋覆花,生地黄,防风,白芷,甘草,玄参,栀子各30g,地骨皮24g
羚羊角,犀角各60g,牛黄24g,黄连(jiu炒),黄芩(jiu炒),川芎,白芷,当归各45g,菊花,大黄(煨),防风,草决明,羌活,生地,滑石,地肤子,蝉蜕各30g
黄连,黄芩,大黄,连翘,小生地,胆草,菊花,银花,薄荷,木贼,川羌活,蝉蜕,赤芍,防风,荆芥,甘草,黄柏各3g
防风,荆芥,薄荷,桔梗,麻黄,黄芩,山栀,连翘,当归,芒硝,大黄,赤芍,滑石,石膏各3g,川芎,甘草各1．5g,白术2．4g
细辛o．3g,生甘草,炙甘草,熟地黄各o．9g,柴胡2．18,黄柏,知母,石膏,桃仁(泥子),当归身,麻子仁,防风,荆芥穗各3g,升麻4．5g,红花少许,杏仁6个,小椒3个
密蒙花,木贼,白蒺藜,蝉蜕,青盐各30g,薄荷,香白芷,防风,生甘草,川芎,知母,荆芥穗,枸杞子,白芍各15g,黑脂麻150g,当归(酒洗，晒干)9g,甘菊花18g
黄连90g,家菊花,龙胆草,石决明(煅),人参,当归,熟地,枸杞,麦冬,牛膝,青盐,黄柏,柴胡,防风,羌活各25g,肉桂12g羯羊肝1具(烙干为末)
白蒺藜90g,石决明(煅、飞),炙甘草,防风,山栀炭,羌活,茯苓,蔓荆子各60g,当归,川芎,赤芍各45g,苍术(泔水浸一夜),花粉,甘菊花,茺蔚子各30g,淡黄芩24g,蝉蜕,蛇蜕各15g
栀子60g,川黄连120g,黄芩,黄柏,大黄各60g,泽泻,玄参,红花,胆草各30g,赤芍,归尾各36g,菊花60g,防风30g,生地36g,石决明,蒺藜各60g,羚羊角3g,冰片15g
当归240g,川芎240g,羌活240g,生地240g,防风240g,薄荷240g,草决明(炒)240g,旋覆花240g,蝉蜕240g,白蒺藜(炒)240g,菊花120g,白芍120g,赤芍120g,白芷120g　蛇蜕(炒)120g,蒙花360g,木贼360g,黄连60g
川芎,井泉石,淫羊藿,槐花各30g,花椒7．6g,蛤粉(水飞),石决明(水飞),防风,荆芥,羌活,苍术(米泔浸),甘菊花,黄芩,杜蒺藜(炒),木贼(去节),地骨皮,薄荷,甘草(炙)各30g
生地黄9g,归身4．5g,柴胡,天花粉,牛蒡子,川芎,防风,薄荷,草决明,白蒺藜,密蒙花,谷精草,白粉葛,栀子(jiu炒),木贼草(去节),羌活各24g,川连0.9g(jiu炒),甘菊6g
羚羊角(镑)30g,犀角(镑)30g,牛黄15g,琥珀9g,厚朴(jiang汁炒)30g,黄芩(jiu炒)30g,川芎15g,白芷15g,菊花24g,防风24g,羌活24g,草决明30g,生地21g,熟地21g,防己24g,黑牵牛24g,蝉蜕(去头、足)21g,地肤子(炒)30g,滑石30g
熟地黄45g(酒洗),菟丝子(酒洗),车前子,麦冬(去心),蕤仁(去皮),决明子,地肤子,茺蔚子,枸杞子,黄芩,五味子,防风(去芦),泽泻,细辛(去叶，不见火),杏仁(炒，去皮尖),北葶苈(炒),青葙子各30g,桂皮15g,羊肝200g(须用白羊者。只用肝，薄切，瓦上焙干了作末。或只以肝煮，研烂为丸，庶可久留；少则以mi凑之)
甘菊花,大黄(锉，炒),旋覆花,升麻,石决明,川芎各15g,羌活(去芦头),地骨皮(洗),青葙子,车前子,石膏(碎),木贼(锉，炒),黄芩(去黑心),栀子仁,草决明(炒),甘草(炙，锉),荆芥穗,防风(去叉)各30g,黄连(去须)7．5g
白术(土炒),细辛,川芎,草决明(炒),羌活,当归,五味,防风,官桂,菊花,玄参,白茯苓,地骨皮,青葙子,车前子(炒),甘草,人参,苦参,黄芩各等分
白术,细辛,当归(切，焙),决明子(微炒),川芎,白茯苓,羌活,五味子,人参,菊花,防风,地骨皮,苦参,玄参,甘草(炙，锉),车前子(微炒),桂,黄芩,青葙子各等分
杏仁30g,茺蔚子30g,青葙子30g,枸杞子30g,五味子30g,茯苓30g,生地黄90g,菟丝子60g,决明子30g,山萸,车前子,地骨皮(焙),柏子仁,大黄,细辛,甘草(炙，锉),人参,黄芩(去黑心),黄连(去须),防风各45g
黄连360g,薄荷1．5kg,连翘1．5kg,川芎1．5kg,蔓荆子炭30kg,当归30kg,白芷15kg,蒙花15kg,生石决明15kg,菊花45kg,黄柏15kg,甘草750g,生地3kg,防风1．5kg,黄芩3kg,白蒺藜(炒)4．5kg,栀子(炒)1．5kg,蝉蜕1．5kg,荆芥1．5kg,赤芍1．5kg,木贼草1．5kg旋复花1．5kg,草决明1．5kg
石斛12．5kg,肉苁蓉12．5kg,麦冬25kg,茯苓50kg,五味子12．5kg,人参50kg　熟地黄75kg,菟丝子12．5kg,草决明12．5kg,苦杏仁12．5kg,山药1。2．5kg,蒺藜12．5kg,川芎12．5kg,青葙子12．5kg,甘草12．5kg,牛膝12．5kg,黄连12．5kg,生地黄12．8kg,天冬50kg,防风12．5kg,枳壳12．5kg,菊花12．5kg,枸杞子12．5kg,生磁石lOkg,生石膏25．5kg
天冬(去心，焙),麦冬(去心，焙),生地黄,熟地黄,新罗人参,白茯苓,干山药各30g,枸杞子,牛膝(jiu浸，另捣),金钗石斛(jiu浸，焙干，另捣),草决明(炒),杏仁(去皮、尖，炒),甘菊,菟丝子(jiu浸，焙干，另捣),羚羊角(镑)各22．5g,肉苁蓉(jiu浸，焙干，另捣),五味子(炒)防风,甘草(炙赤色，锉),沙苑蒺藜(炒),黄连,枳壳(去瓤，麸炒),川芎,生乌犀(镑),青葙子各15g
菟丝子30g(jiu浸三日，曝干，另捣为末),珍珠22．5g(细研),远志15g(去心),防风15g,蔓荆子15g,车前子15g,石斛30g(去根，锉),白茯苓30g,玄参15g,人参15g,木香15g,决明子15g,地肤子15g,蕤仁15g(汤浸，去赤皮),川芎15g,羌活15g,羚羊角屑15g,熟地黄30g,枸杞子15g,牛膝30g,山药15g,甘菊花15g,黄芪15g(锉),地骨皮15g,覆盆子22．5g,兔肝60g(炙微黄)
独活,麻黄(去根、节),白茯苓,厚朴(生jiang汁炙),五味子,蒺藜子(炒，去角),槐子,枸杞子,菥蓂子,麦冬(去心，焙),人参,细辛,白芷,决明子,车前子,茺蔚子,覆盆子,地肤子,丹参,川芎,防风,黄芩,升麻,黄连各37．5g,远志(去心),木通(锉),柏子仁各60g
白丁香(腊月收者尤佳，水飞)24g,黄连30g,防风(锉一指许)30g,新柳枝(方3．3cm者)3片
龙胆草,细辛,当归,防风各60g
防风,羌活,黄芩,黄连各30g
曾青120g,蔓荆子60g,防风,白姜(炮)各30g
胆矾,防风,独活,僵蚕,桑皮各3g
白蒺藜45g(微炒，去角),羌活,防风各15g,炙甘草7．5g,芒硝60g(研细)
细辛0．6g,蔓荆子1．5g,防风3g　葛根4．5g,甘草6g
芒硝,大黄,白芍药,桔梗各3g,黄芩,防风各6g
当归6g,木贼3g,防风3g,熟地黄6g,白芍药3g,川芎1．5g
蜜蒙花30g,枳实,蒺藜子(炒，去角),甘菊花,防风,蛇蜕各15g
薏苡仁12g,茯苓9g,炒枳壳3g,酒黄芩9g,荆芥,防风各1.5g
防风3g,赤芍,川芎,连翘,甘草,牛蒡子(炒研)各2．4g
黄芪(蜜炙),甘草,当归,防风,升麻,荆芥,白芷各等分
石决明,大黄,细辛,黄芩,车前子各30g,防风60g,芍药45g
生地黄(焙),赤芍药各15g,川芎30g,甘草15g,防风,荆芥,当归尾各30g
菊花,羚羊角(镑),蔓荆实各1g,玄参15g,防风,芍药各4．5g,黄芩30g
菊花,甘草,防风,荆芥,蝉蜕,大黄,石决明(煅)各等分
羚羊角(镑),蔓荆子(去白皮),菊花各22．5g,防风,芍药各45g,黄芩(去黑心)30g,玄参15g
羚羊角(镑),防风,芍药,茯神(去木),炙甘草,羌活,细辛各30g
人参3g,五味子1．5g,桔梗1．5g,车前子6g,茯苓3g,细辛1．5g,防风6g
牛蒡子(研，炒),羌活,黄连,黄芩,苏薄荷,防风,连翘各等分
薄荷,荆芥各6g,防风3g,银花15g,酒黄芩,天花粉,桔梗各9g
藁本,乌梢蛇,防风,羌活,白芍药,川芎,细辛
蒺藜子(炒，去刺),草龙胆各180g,赤芍药250g,炙甘草,羌活,防风各30g,菊花15g,茯苓120g
茺蔚子60g,防风,川芎,桔梗(锉，炒),知母(焙)各30g,藁本37．5g,白芷23g,人参30g
防风,犀角,大黄,知母,玄参,黄芩,羚羊角(肝虚不用),桔梗
当归(jiu浸),车前子(酒蒸，焙),防风,白芍药,蕤仁(另研),熟地黄(酒蒸，焙),川芎,楮实子各等分
防风,当归(锉，焙),芍药,炙甘草,人参各30g,山栀子仁15g,大黄15g(炙),柴胡30g
防风,黄芩,茺蔚子,桔梗各60g,大黄,黑参,五味子,细辛各30g
防风60g,犀角,大黄,知母,黄芩,黑参各30g,桔梗,羚羊角各45g
柴胡,羌活,防风,赤芍药,桔梗,荆芥,生地黄,甘草
柏子仁(捣，研)60g,防风,茺蔚子各30g,车前子,桔梗(炒)各60g,人参,白茯苓　玄参各30g
天麻,桔梗,防风,赤芍,五味子,陈皮,升麻,桑白皮各等分
天麻,桔梗,防风各90g,乌梢蛇,五味子,细辛,芍药,干蝎各40g
防风,五味子,大黄,天冬,桔梗,芍药,细辛各45g,茺蔚子60g
蔓荆实(去皮),甘菊花,羌活,黄芩(去黑心),川芎,防风各30g,石膏90g,炙甘草15g
蔓荆子,地肤子,人参,茺蔚子,决明子,白茯苓,远志(去心),防风各30g,青葙子,地骨皮,柴胡,山药,车前子,柏子仁(炒),玄参,甘菊,甘草(炙)各15g,细辛7．5g
防风4．5g,茺蔚子3g,人参3g,茯苓3g,黑参6g,桔梗3g,车前子6g,柏子仁6g
防风,羌活,柴胡,甘草,当归,黄芩,生地,川芎,天花粉各等分
茺蔚子,防风各60g,黑参,细辛,大黄,枳壳,知母,芒硝各30g,芍药45g
车前子4．5g,防风3g,桔梗3g,玄参3g,五味子15g,知母6g,黄芩3g,细茶7．5g,茺蔚子3g
菟丝子(jiu浸，别捣),肉苁蓉(jiu浸，切，焙)各90g,五味子,续断,远志,山茱萸,泽泻各45g,防风60g,巴戟天(去心)30g
菊花,茯神,防风,玄参,升麻,石膏,川芎,葛根各30g,大黄(锉炒)45g
菊花30g,蜜蒙花,生甘草,栀子仁,川芎,大黄各15g,蒺藜子(炒，去角),防风,当归各30g
防风(蜜炙),威灵仙,枸杞子,石决明(水煮干),蕤仁(去壳),苍术(米泔浸),蚌粉(飞过),谷精草各30g,菊花60g
川芎,防风,羌活,甘草,木贼,石膏,薄荷,菊花,石决明各等分
羚羊角0．6g,防风6g,知母,玄参,茯苓,酒黄芩,车前子,夏枯草各9g,五味子3g
羚羊角屑15g,防风,赤芍药,木通(锉),玄参,芒硝各30g,枳壳15g(麸炒微黄),炙甘草15g,栀子仁15g
川芎,防风,羌活各30g,甘草15g,木贼,石膏(炒),石决明(煅),荆芥,薄荷叶　甘菊花各30g
前胡,决明子(炒),防风,车前子各30g,甘菊花,黄连各15g,细辛,苦参各90g,枳壳(去瓤，麸炒),升麻各60g
细辛,苍术各30g,防风,知母,茺蔚子各45g,桔梗60g,大黄,黄芩,栀子仁,朴硝各15g
当归,防风,栀子,薄荷,川芎各60g,大黄90g,甘草,羌活各51g,木贼,玄明粉各15g
花椒(去目),制苍术,白术(煨),白茯苓,黑牵牛(炒),川乌,枸杞子(jiu浸),巴戟(炮，去心),防风,羌活各等分
防风,石决明,威灵仙,蕤仁,蛤粉,谷精草,枸杞子,苍术,甘草,菊花各30g
茯苓3g,枯梗3g,茺蔚子6g,黄芩3g,防风6g,川芎3g,知母3g,黑参3g,当归身6g,人参3g
